Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,White,2106-3,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,65-74 years,65-74,Female,F,35,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,75-84 years,75-84,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with renal complications",E14.2,75-84 years,75-84,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,45-54 years,45-54,Female,F,17,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,45-54 years,45-54,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,55-64 years,55-64,Female,F,37,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,55-64 years,55-64,Male,M,42,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,65-74 years,65-74,Female,F,65,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,65-74 years,65-74,Male,M,70,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,75-84 years,75-84,Female,F,71,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,75-84 years,75-84,Male,M,83,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,85+ years,85+,Female,F,28,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,85+ years,85+,Male,M,36,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with multiple complications",E14.7,65-74 years,65-74,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, with multiple complications",E14.7,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,25-34 years,25-34,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,35-44 years,35-44,Female,F,36,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,35-44 years,35-44,Male,M,46,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,45-54 years,45-54,Female,F,86,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,45-54 years,45-54,Male,M,133,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Female,F,254,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,261,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Female,F,483,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Male,M,515,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Female,F,633,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Male,M,555,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Female,F,337,Not Applicable,Not Applicable
,White,2106-3,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Male,M,177,Not Applicable,Not Applicable
,White,2106-3,Unspecified severe protein-energy malnutrition,E43,85+ years,85+,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,65-74 years,65-74,Female,F,24,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,65-74 years,65-74,Male,M,20,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,75-84 years,75-84,Female,F,70,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,75-84 years,75-84,Male,M,38,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,85+ years,85+,Female,F,99,Not Applicable,Not Applicable
,White,2106-3,Unspecified protein-energy malnutrition,E46,85+ years,85+,Male,M,40,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,25-34 years,25-34,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,35-44 years,35-44,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,35-44 years,35-44,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,45-54 years,45-54,Female,F,24,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,45-54 years,45-54,Male,M,21,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,55-64 years,55-64,Male,M,19,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,65-74 years,65-74,Female,F,18,Not Applicable,Not Applicable
,White,2106-3,Other obesity,E66.8,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,55-64 years,55-64,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,55-64 years,55-64,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,65-74 years,65-74,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,65-74 years,65-74,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,"Obesity, unspecified",E66.9,75-84 years,75-84,Female,F,16,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,65-74 years,65-74,Male,M,32,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,75-84 years,75-84,Female,F,27,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,75-84 years,75-84,Male,M,24,Not Applicable,Not Applicable
,White,2106-3,Pure hypercholesterolaemia,E78.0,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,55-64 years,55-64,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,55-64 years,55-64,Male,M,35,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,65-74 years,65-74,Female,F,24,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,65-74 years,65-74,Male,M,43,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,75-84 years,75-84,Female,F,45,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,75-84 years,75-84,Male,M,45,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,85+ years,85+,Female,F,26,Not Applicable,Not Applicable
,White,2106-3,"Hyperlipidaemia, unspecified",E78.5,85+ years,85+,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,"Cystic fibrosis, unspecified",E84.9,15-24 years,15-24,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,Organ-limited amyloidosis,E85.4,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,Organ-limited amyloidosis,E85.4,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,65-74 years,65-74,Female,F,20,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,65-74 years,65-74,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,75-84 years,75-84,Female,F,91,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,75-84 years,75-84,Male,M,64,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,85+ years,85+,Female,F,176,Not Applicable,Not Applicable
,White,2106-3,Volume depletion,E86,85+ years,85+,Male,M,49,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,75-84 years,75-84,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,85+ years,85+,Female,F,20,Not Applicable,Not Applicable
,White,2106-3,Hyperosmolality and hypernatraemia,E87.0,85+ years,85+,Male,M,15,Not Applicable,Not Applicable
,White,2106-3,Hypo-osmolality and hyponatraemia,E87.1,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,65-74 years,65-74,Female,F,16,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,65-74 years,65-74,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,75-84 years,75-84,Female,F,29,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,75-84 years,75-84,Male,M,22,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,85+ years,85+,Female,F,35,Not Applicable,Not Applicable
,White,2106-3,Acidosis,E87.2,85+ years,85+,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Hyperkalaemia,E87.5,85+ years,85+,Female,F,16,Not Applicable,Not Applicable
,White,2106-3,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,85+ years,85+,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,65-74 years,65-74,Female,F,32,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,65-74 years,65-74,Male,M,49,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,75-84 years,75-84,Female,F,170,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,75-84 years,75-84,Male,M,194,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,85+ years,85+,Female,F,417,Not Applicable,Not Applicable
,White,2106-3,Unspecified dementia,F03,85+ years,85+,Male,M,226,Not Applicable,Not Applicable
,White,2106-3,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,75-84 years,75-84,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,85+ years,85+,Female,F,40,Not Applicable,Not Applicable
,White,2106-3,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,85+ years,85+,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,45-54 years,45-54,Male,M,11,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,35-44 years,35-44,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,35-44 years,35-44,Male,M,22,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,45-54 years,45-54,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,45-54 years,45-54,Male,M,37,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,55-64 years,55-64,Male,M,24,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,65-74 years,65-74,Male,M,18,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,75-84 years,75-84,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,35-44 years,35-44,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,"Depressive episode, unspecified",F32.9,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,45-54 years,45-54,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,45-54 years,45-54,Male,M,25,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,55-64 years,55-64,Female,F,22,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,55-64 years,55-64,Male,M,40,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,65-74 years,65-74,Female,F,45,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,65-74 years,65-74,Male,M,69,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,75-84 years,75-84,Female,F,40,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,75-84 years,75-84,Male,M,47,Not Applicable,Not Applicable
,White,2106-3,Motor neuron disease,G12.2,85+ years,85+,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,65-74 years,65-74,Female,F,30,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,65-74 years,65-74,Male,M,83,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,75-84 years,75-84,Female,F,121,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,75-84 years,75-84,Male,M,284,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,85+ years,85+,Female,F,73,Not Applicable,Not Applicable
,White,2106-3,Parkinson disease,G20,85+ years,85+,Male,M,113,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,65-74 years,65-74,Female,F,40,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,65-74 years,65-74,Male,M,39,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,75-84 years,75-84,Female,F,212,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,75-84 years,75-84,Male,M,232,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,85+ years,85+,Female,F,304,Not Applicable,Not Applicable
,White,2106-3,"Alzheimer disease, unspecified",G30.9,85+ years,85+,Male,M,163,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,35-44 years,35-44,Female,F,17,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,45-54 years,45-54,Female,F,49,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,45-54 years,45-54,Male,M,24,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,55-64 years,55-64,Female,F,39,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,65-74 years,65-74,Female,F,32,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,65-74 years,65-74,Male,M,24,Not Applicable,Not Applicable
,White,2106-3,Multiple sclerosis,G35,75-84 years,75-84,Female,F,25,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,65-74 years,65-74,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Status epilepticus, unspecified",G41.9,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,Myasthenia gravis,G70.0,75-84 years,75-84,Female,F,16,Not Applicable,Not Applicable
,White,2106-3,Myasthenia gravis,G70.0,75-84 years,75-84,Male,M,24,Not Applicable,Not Applicable
,White,2106-3,Muscular dystrophy,G71.0,15-24 years,15-24,Male,M,22,Not Applicable,Not Applicable
,White,2106-3,Muscular dystrophy,G71.0,45-54 years,45-54,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,Muscular dystrophy,G71.0,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,5-14 years,14-May,Female,F,12,Not Applicable,Not Applicable
,White,2106-3,"Infantile cerebral palsy, unspecified",G80.9,5-14 years,14-May,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,35-44 years,35-44,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,35-44 years,35-44,Male,M,20,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,45-54 years,45-54,Female,F,24,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,45-54 years,45-54,Male,M,48,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,55-64 years,55-64,Female,F,61,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,55-64 years,55-64,Male,M,51,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,65-74 years,65-74,Female,F,99,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,65-74 years,65-74,Male,M,88,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,75-84 years,75-84,Female,F,69,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,75-84 years,75-84,Male,M,89,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,85+ years,85+,Female,F,33,Not Applicable,Not Applicable
,White,2106-3,"Anoxic brain damage, not elsewhere classified",G93.1,85+ years,85+,Male,M,25,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,65-74 years,65-74,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,75-84 years,75-84,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,"Encephalopathy, unspecified",G93.4,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,Mitral stenosis,I05.0,65-74 years,65-74,Female,F,17,Not Applicable,Not Applicable
,White,2106-3,Mitral stenosis,I05.0,75-84 years,75-84,Female,F,40,Not Applicable,Not Applicable
,White,2106-3,Mitral stenosis,I05.0,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,65-74 years,65-74,Female,F,40,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,65-74 years,65-74,Male,M,18,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,75-84 years,75-84,Female,F,48,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,White,2106-3,"Mitral valve disease, unspecified",I05.9,85+ years,85+,Female,F,18,Not Applicable,Not Applicable
,White,2106-3,Disorders of both mitral and aortic valves,I08.0,75-84 years,75-84,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,"Rheumatic heart disease, unspecified",I09.9,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,"Rheumatic heart disease, unspecified",I09.9,75-84 years,75-84,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,"Rheumatic heart disease, unspecified",I09.9,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,45-54 years,45-54,Female,F,13,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,45-54 years,45-54,Male,M,14,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,55-64 years,55-64,Female,F,30,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,55-64 years,55-64,Male,M,40,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,65-74 years,65-74,Female,F,51,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,65-74 years,65-74,Male,M,73,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,75-84 years,75-84,Female,F,135,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,75-84 years,75-84,Male,M,80,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,85+ years,85+,Female,F,154,Not Applicable,Not Applicable
,White,2106-3,Essential (primary) hypertension,I10,85+ years,85+,Male,M,46,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,65-74 years,65-74,Female,F,36,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,65-74 years,65-74,Male,M,34,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,75-84 years,75-84,Female,F,102,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,75-84 years,75-84,Male,M,40,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,85+ years,85+,Female,F,174,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease with (congestive) heart failure,I11.0,85+ years,85+,Male,M,50,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,35-44 years,35-44,Female,F,11,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,35-44 years,35-44,Male,M,17,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,45-54 years,45-54,Female,F,30,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,45-54 years,45-54,Male,M,70,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,55-64 years,55-64,Female,F,21,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,55-64 years,55-64,Male,M,74,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,65-74 years,65-74,Female,F,57,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,65-74 years,65-74,Male,M,74,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,75-84 years,75-84,Female,F,122,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,75-84 years,75-84,Male,M,87,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,85+ years,85+,Female,F,104,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart disease without (congestive) heart failure,I11.9,85+ years,85+,Male,M,43,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,55-64 years,55-64,Female,F,13,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,55-64 years,55-64,Male,M,16,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,65-74 years,65-74,Female,F,46,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,65-74 years,65-74,Male,M,45,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,75-84 years,75-84,Female,F,80,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,75-84 years,75-84,Male,M,81,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,85+ years,85+,Female,F,91,Not Applicable,Not Applicable
,White,2106-3,Hypertensive renal disease with renal failure,I12.0,85+ years,85+,Male,M,50,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with renal failure,I13.1,75-84 years,75-84,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with renal failure,I13.1,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with renal failure,I13.1,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,75-84 years,75-84,Female,F,29,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,75-84 years,75-84,Male,M,28,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,85+ years,85+,Female,F,46,Not Applicable,Not Applicable
,White,2106-3,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,85+ years,85+,Male,M,18,Not Applicable,Not Applicable
,White,2106-3,Acute subendocardial myocardial infarction,I21.4,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,White,2106-3,Acute subendocardial myocardial infarction,I21.4,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,White,2106-3,Acute subendocardial myocardial infarction,I21.4,85+ years,85+,Male,M,10,Not Applicable,Not Applicable
,White,2106-3,"Acute myocardial infarction, unspecified",I21.9,25-34 years,25-34,Female,F,23,Not Applicable,Not Applicable
,White,2106-3,"Acute myocardial infarction, unspecified",I21.9,25-34 years,25-34,Male,M,35,Not Applicable,Not Applicable
,White,2106-3,"Acute myocardial infarction, unspecified",I21.9,35-44 years,35-44,Female,F,122,Not Applicable,Not Applicable
,White,2106-3,"Acute myocardial infarction, unspecified",I21.9,35-44 years,35-44,Male,M,356,Not Applicable,Not Applicable
,White,2106-3,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Female,F,296,Not Applicable,Not Applicable
